  ID  JPA6500 JPA6600 JPA6700 JPA6800 JPA6900 JPA7000 JPA7100 JPA7200 JPA7300 JPA7400 JPA7500 JPA7600 JPA7700 JPA7800 JPA7900 JPA8000 JPA8100 JPA8200 JPA8300 JPA8400 JPA8500 JPA8600 JPA8700 JPA8800 JPA8900 JPA9000 JPA9100
  39   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.005   0.004   0.004   0.004   0.004   0.004   0.004
  40 -21.935 -21.956 -22.060 -22.184 -22.224 -22.330 -22.383 -22.401 -22.482 -22.517 -22.527 -22.568 -22.648 -22.701 -22.666 -22.712 -22.798 -22.818 -22.849 -22.876 -22.907 -22.889 -22.898 -22.957 -23.052 -23.068 -23.026
  40   0.011   0.010   0.010   0.011   0.011   0.010   0.010   0.010   0.011   0.011   0.011   0.011   0.011   0.011   0.011   0.011   0.010   0.011   0.011   0.011   0.011   0.011   0.012   0.011   0.010   0.010   0.011
  41 -20.844 -20.896 -20.960 -21.021 -21.050 -21.201 -21.320 -21.432 -21.500 -21.566 -21.591 -21.660 -21.707 -21.697 -21.784 -21.782 -21.812 -21.816 -21.813 -21.919 -22.004 -22.048 -22.066 -22.102 -22.140 -22.163 -22.202
  41   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002
  42 -19.632 -19.645 -19.787 -19.808 -19.971 -20.114 -20.085 -20.235 -20.197 -20.365 -20.404 -20.754 -20.978 -21.019 -21.075 -21.119 -21.158 -21.192 -21.353 -21.448 -21.576 -21.650 -21.703 -21.743 -21.769 -21.836 -21.889
  42   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.005   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.005   0.004
  43 -21.568 -21.598 -21.586 -21.655 -21.761 -21.816 -21.845 -21.886 -21.916 -21.969 -22.023 -22.037 -22.047 -22.103 -22.141 -22.131 -22.136 -22.170 -22.215 -22.247 -22.237 -22.265 -22.284 -22.307 -22.335 -22.374 -22.410
  43   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002
  44 -21.557 -21.649 -21.656 -21.705 -21.697 -21.724 -21.682 -21.730 -21.867 -21.932 -21.952 -21.993 -22.031 -22.062 -22.113 -22.172 -22.149 -22.172 -22.244 -22.268 -22.246 -22.237 -22.264 -22.302 -22.337 -22.337 -22.345
  44   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.005   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004
  45 -21.218 -21.260 -21.261 -21.276 -21.371 -21.296 -21.362 -21.330 -21.331 -21.341 -21.372 -21.344 -21.317 -21.386 -21.448 -21.460 -21.518 -21.533 -21.567 -21.565 -21.558 -21.591 -21.581 -21.564 -21.606 -21.633 -21.632
  45   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004
  46 -21.506 -21.558 -21.564 -21.608 -21.723 -21.762 -21.798 -21.822 -21.838 -21.893 -21.952 -21.989 -22.013 -22.055 -22.060 -22.032 -22.051 -22.101 -22.161 -22.196 -22.172 -22.185 -22.205 -22.226 -22.246 -22.283 -22.326
  46   0.018   0.015   0.016   0.016   0.017   0.017   0.016   0.017   0.017   0.017   0.016   0.015   0.015   0.016   0.016   0.018   0.018   0.017   0.016   0.015   0.016   0.017   0.017   0.017   0.017   0.016   0.017
  47 -22.285 -22.300 -22.415 -22.526 -22.546 -22.558 -22.625 -22.625 -22.675 -22.742 -22.725 -22.777 -22.820 -22.834 -22.787 -22.856 -22.923 -22.942 -22.943 -22.985 -22.965 -22.981 -23.025 -23.090 -23.117 -23.108 -23.082
  47   0.009   0.008   0.009   0.009   0.008   0.008   0.008   0.009   0.009   0.008   0.009   0.008   0.008   0.008   0.008   0.009   0.008   0.009   0.008   0.009   0.008   0.009   0.009   0.008   0.009   0.009   0.009
  48 -21.566 -21.587 -21.707 -21.801 -21.828 -21.860 -21.913 -21.934 -21.989 -22.045 -22.036 -22.093 -22.138 -22.145 -22.121 -22.175 -22.233 -22.261 -22.260 -22.296 -22.301 -22.321 -22.359 -22.414 -22.445 -22.435 -22.425
  48   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.009   0.008   0.008   0.009   0.007   0.008   0.008   0.008   0.008   0.009   0.008   0.008   0.008   0.008   0.008   0.009
  49 -21.586 -21.684 -21.736 -21.767 -21.807 -21.851 -21.909 -21.964 -21.962 -22.008 -22.059 -22.065 -22.063 -22.096 -22.148 -22.192 -22.191 -22.216 -22.237 -22.269 -22.303 -22.347 -22.385 -22.375 -22.387 -22.457 -22.511
  49   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004
  50 -20.249 -20.317 -20.501 -20.587 -20.735 -20.834 -21.139 -21.134 -21.189 -21.270 -21.310 -21.283 -21.391 -21.499 -21.596 -21.651 -21.693 -21.728 -21.754 -21.809 -21.828 -21.797 -21.890 -21.883 -21.900 -21.931 -21.909
  50   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.005   0.004   0.004   0.004   0.004   0.004   0.004
  51 -20.291 -20.640 -20.689 -20.774 -20.846 -20.885 -20.950 -21.123 -21.242 -21.352 -21.407 -21.458 -21.527 -21.609 -21.622 -21.625 -21.734 -21.734 -21.769 -21.790 -21.796 -21.898 -21.976 -22.039 -22.076 -22.104 -22.149
  51   0.009   0.009   0.008   0.008   0.008   0.008   0.008   0.009   0.008   0.008   0.008   0.009   0.008   0.008   0.008   0.008   0.008   0.008   0.009   0.008   0.008   0.008   0.008   0.008   0.009   0.009   0.009
  52 -21.619 -21.632 -21.675 -21.661 -21.688 -21.658 -21.800 -21.915 -21.940 -21.973 -22.006 -22.014 -22.078 -22.125 -22.143 -22.123 -22.177 -22.213 -22.213 -22.224 -22.255 -22.284 -22.318 -22.318 -22.329 -22.349 -22.340
  52   0.008   0.008   0.008   0.008   0.008   0.009   0.009   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.009   0.009   0.009   0.008   0.008   0.008   0.008   0.009   0.008   0.008   0.008   0.008
  53 -21.073 -21.081 -21.075 -21.404 -21.547 -22.307 -21.464 -21.108 -21.086 -21.066 -21.094 -21.054 -21.079 -21.153 -21.168 -21.154 -21.186 -21.227 -21.212 -21.212 -21.266 -21.265 -21.224 -21.292 -21.311 -21.256 -21.501
  53   0.008   0.007   0.008   0.009   0.010   0.012   0.008   0.008   0.008   0.008   0.008   0.009   0.008   0.008   0.008   0.008   0.008   0.007   0.008   0.007   0.008   0.007   0.008   0.008   0.008   0.008   0.008
  54 -21.744 -21.749 -21.813 -21.913 -21.988 -22.018 -22.051 -22.091 -22.162 -22.212 -22.234 -22.211 -22.262 -22.312 -22.289 -22.325 -22.331 -22.388 -22.440 -22.428 -22.456 -22.428 -22.478 -22.507 -22.541 -22.592 -22.606
  54   0.015   0.014   0.014   0.013   0.013   0.014   0.014   0.013   0.014   0.013   0.013   0.013   0.015   0.014   0.013   0.014   0.014   0.014   0.015   0.014   0.015   0.013   0.012   0.015   0.013   0.013   0.013
  55 -21.600 -21.617 -21.595 -21.656 -21.769 -21.835 -21.846 -21.886 -21.924 -21.948 -22.010 -22.029 -22.031 -22.087 -22.126 -22.123 -22.098 -22.151 -22.208 -22.226 -22.220 -22.255 -22.255 -22.272 -22.304 -22.355 -22.389
