   ID JPA3518 JPA3785 JPA3900 JPA4000 JPA4100 JPA4200 JPA4300 JPA4400 JPA4500 JPA4600 JPA4700 JPA4800 JPA4900 JPA5000 JPA5100 JPA5200 JPA5300 JPA5400 JPA5500 JPA5600 JPA5700 JPA5800 JPA5900 JPA6000 JPA6100 JPA6200 JPA6300 JPA6400
   8 -15.916 -16.623 -16.762 -16.912 -17.371 -17.687 -17.819 -18.074 -18.303 -18.501 -18.756 -18.841 -18.931 -19.047 -19.125 -19.344 -19.416 -19.504 -19.603 -19.726 -20.171 -20.386 -20.462 -20.551 -20.603 -20.759 -20.922 -21.076
   8   0.006   0.008   0.008   0.009   0.009   0.008   0.009   0.009   0.008   0.008   0.008   0.008   0.008   0.009   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008
   9 -17.197 -17.579 -17.946 -18.123 -18.108 -18.311 -18.728 -18.862 -19.040 -19.238 -19.372 -19.559 -19.755 -19.818 -19.909 -20.021 -20.065 -20.273 -20.346 -20.465 -20.501 -20.613 -20.937 -21.209 -21.268 -21.317 -21.383 -21.463
   9   0.007   0.012   0.011   0.010   0.011   0.010   0.011   0.011   0.011   0.012   0.011   0.012   0.011   0.010   0.011   0.011   0.011   0.011   0.011   0.011   0.012   0.012   0.012   0.011   0.011   0.011   0.011   0.011
  10 -19.154 -19.304 -19.264 -19.441 -19.576 -19.674 -19.727 -19.751 -19.890 -19.974 -19.990 -20.016 -20.069 -20.122 -20.243 -20.432 -20.507 -20.632 -20.733 -20.945 -20.963 -21.040 -21.080 -21.087 -21.165 -21.251 -21.316 -21.365
  10   0.001   0.001   0.001   0.001   0.001   0.001   0.001   0.001   0.001   0.001   0.001   0.001   0.001   0.001   0.002   0.001   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002
  11 -18.575 -18.934 -19.113 -19.209 -19.394 -19.474 -19.549 -19.616 -19.709 -19.857 -20.030 -20.212 -20.368 -20.621 -20.785 -20.877 -20.919 -20.951 -21.105 -21.227 -21.282 -21.334 -21.392 -21.436 -21.449 -21.484 -21.507 -21.546
  11   0.010   0.015   0.016   0.016   0.017   0.017   0.016   0.016   0.017   0.016   0.016   0.017   0.016   0.016   0.016   0.017   0.017   0.017   0.016   0.017   0.016   0.017   0.017   0.017   0.016   0.018   0.016   0.016
  12 -17.570 -18.087 -18.326 -18.485 -18.692 -18.849 -19.092 -19.221 -19.288 -19.388 -19.476 -19.674 -19.768 -19.876 -19.994 -20.216 -20.591 -20.666 -20.745 -20.791 -20.890 -21.063 -21.200 -21.295 -21.359 -21.406 -21.484 -21.489
  12   0.002   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004
  13 -17.422 -17.738 -18.144 -18.351 -18.496 -18.702 -18.876 -19.094 -19.237 -19.299 -19.375 -19.472 -19.636 -19.763 -19.858 -19.968 -20.079 -20.484 -20.677 -20.739 -20.819 -20.858 -21.016 -21.153 -21.279 -21.362 -21.401 -21.462
  13   0.005   0.008   0.009   0.009   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.009   0.009   0.009   0.009   0.008   0.009   0.009   0.008   0.008   0.008   0.008   0.008   0.007   0.008   0.008   0.008   0.008
  14 -15.666 -15.438 -15.559 -15.746 -15.965 -16.099 -16.482 -16.713 -16.924 -17.213 -17.669 -17.755 -17.754 -17.974 -18.393 -18.694 -18.749 -18.930 -19.154 -19.347 -19.507 -19.718 -19.825 -19.894 -19.945 -20.040 -20.091 -20.224
  14   0.005   0.007   0.008   0.009   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.007   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008
  15 -16.107 -16.733 -17.060 -17.061 -17.290 -17.698 -17.901 -18.067 -18.289 -18.488 -18.683 -18.892 -18.966 -19.044 -19.155 -19.233 -19.441 -19.512 -19.626 -19.742 -19.856 -20.271 -20.466 -20.536 -20.629 -20.672 -20.800 -20.971
  15   0.006   0.008   0.008   0.008   0.009   0.009   0.008   0.009   0.008   0.008   0.009   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.009   0.008   0.009   0.008   0.008   0.008   0.008   0.008   0.008   0.008
  16 -18.169 -18.302 -18.518 -18.693 -18.636 -18.741 -19.012 -19.183 -19.268 -19.405 -19.511 -19.607 -19.790 -19.831 -19.889 -19.941 -20.023 -20.130 -20.261 -20.363 -20.501 -20.626 -20.756 -21.085 -21.102 -21.166 -21.222 -21.214
  16   0.001   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002
  17 -19.380 -19.480 -19.552 -19.596 -19.683 -19.772 -19.805 -19.823 -19.873 -19.895 -19.949 -20.239 -20.447 -20.316 -20.412 -20.552 -20.729 -20.766 -20.812 -20.859 -20.945 -21.016 -21.106 -21.159 -21.210 -21.241 -21.317 -21.400
  17   0.002   0.005   0.005   0.006   0.007   0.007   0.009   0.010   0.010   0.010   0.011   0.010   0.009   0.011   0.012   0.014   0.014   0.015   0.016   0.017   0.016   0.017   0.017   0.018   0.017   0.020   0.018   0.018
  18 -17.604 -18.130 -18.337 -18.534 -18.730 -18.910 -19.148 -19.232 -19.312 -19.412 -19.523 -19.720 -19.812 -19.918 -20.055 -20.366 -20.631 -20.692 -20.778 -20.822 -20.973 -21.122 -21.251 -21.333 -21.375 -21.446 -21.474 -21.515
  18   0.002   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004
  19 -18.597 -18.911 -19.045 -19.171 -19.254 -19.394 -19.491 -19.534 -19.597 -19.676 -19.808 -19.925 -20.113 -20.287 -20.465 -20.746 -20.787 -20.881 -20.912 -20.957 -21.113 -21.221 -21.290 -21.339 -21.387 -21.423 -21.427 -21.497
  19   0.001   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002
  20 -16.193 -16.334 -16.410 -16.652 -16.756 -16.979 -17.346 -17.642 -17.608 -17.698 -18.051 -18.391 -18.449 -18.631 -18.809 -18.943 -19.095 -19.345 -19.376 -19.454 -19.498 -19.617 -19.665 -19.889 -19.907 -20.027 -20.033 -20.178
  20   0.001   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002
  21 -18.411 -18.645 -18.901 -19.008 -19.180 -19.285 -19.349 -19.509 -19.557 -19.616 -19.682 -19.737 -19.881 -19.988 -20.180 -20.347 -20.526 -20.776 -20.847 -20.941 -20.956 -20.991 -21.147 -21.256 -21.302 -21.352 -21.407 -21.466
  21   0.010   0.016   0.016   0.016   0.017   0.016   0.016   0.016   0.016   0.016   0.016   0.015   0.016   0.017   0.017   0.016   0.017   0.017   0.016   0.017   0.017   0.015   0.016   0.016   0.017   0.018   0.017   0.018
  22 -16.846 -17.373 -17.684 -17.919 -18.204 -18.361 -18.467 -18.589 -18.731 -18.945 -19.069 -19.196 -19.347 -19.781 -20.016 -20.123 -20.226 -20.340 -20.550 -20.729 -20.869 -20.968 -21.054 -21.155 -21.202 -21.306 -21.359 -21.388
  22   0.005   0.008   0.009   0.008   0.009   0.008   0.008   0.008   0.008   0.008   0.009   0.008   0.008   0.009   0.008   0.008   0.008   0.008   0.009   0.008   0.008   0.009   0.008   0.008   0.008   0.008   0.008   0.008
  23 -18.404 -18.778 -18.933 -19.163 -19.273 -19.343 -19.438 -19.560 -19.718 -19.864 -20.014 -20.172 -20.519 -20.650 -20.740 -20.788 -20.873 -21.047 -21.178 -21.260 -21.313 -21.386 -21.399 -21.456 -21.494 -21.522 -21.516 -21.612
  23   0.001   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002
  24 -17.179 -17.713 -18.109 -18.248 -18.488 -18.667 -18.905 -19.114 -19.188 -19.272 -19.389 -19.536 -19.690 -19.771 -19.844 -19.984 -20.390 -20.599 -20.668 -20.747 -20.805 -20.979 -21.135 -21.260 -21.336 -21.381 -21.463 -21.490
  24   0.001   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002
  25 -17.832 -18.250 -18.444 -18.633 -18.773 -18.917 -19.102 -19.170 -19.258 -19.338 -19.453 -19.598 -19.793 -19.966 -20.119 -20.407 -20.568 -20.657 -20.745 -20.772 -20.923 -21.082 -21.166 -21.240 -21.302 -21.385 -21.390 -21.465
  25   0.006   0.008   0.009   0.008   0.008   0.008   0.008   0.008   0.008   0.009   0.008   0.009   0.009   0.008   0.009   0.009   0.008   0.007   0.009   0.008   0.008   0.008   0.007   0.008   0.008   0.008   0.008   0.009
  26 -19.165 -19.131 -19.178 -19.185 -19.209 -19.238 -19.266 -19.331 -19.346 -19.395 -19.499 -19.548 -19.562 -19.589 -19.628 -19.637 -19.679 -19.759 -20.200 -20.085 -20.112 -20.169 -20.344 -20.497 -20.540 -20.588 -20.627 -20.721
  26   0.000   0.000   0.001   0.001   0.001   0.001   0.002   0.002   0.003   0.003   0.004   0.004   0.005   0.006   0.006   0.007   0.007   0.008   0.005   0.007   0.007   0.008   0.010   0.011   0.011   0.011   0.012   0.012
  27 -14.227 -14.890 -15.300 -15.835 -16.136 -16.150 -16.439 -16.950 -17.202 -17.377 -17.643 -17.882 -18.086 -18.358 -18.457 -18.559 -18.644 -18.753 -18.911 -19.117 -19.172 -19.270 -19.397 -19.551 -19.995 -20.152 -20.243 -20.337
  27   0.006   0.008   0.008   0.009   0.008   0.009   0.009   0.008   0.008   0.009   0.009   0.009   0.009   0.008   0.008   0.008   0.009   0.009   0.009   0.008   0.009   0.008   0.009   0.009   0.008   0.008   0.008   0.008
  28 -17.957 -18.392 -18.647 -18.840 -19.059 -19.125 -19.199 -19.296 -19.469 -19.606 -19.667 -19.788 -20.030 -20.439 -20.537 -20.612 -20.666 -20.811 -20.983 -21.131 -21.224 -21.271 -21.347 -21.377 -21.437 -21.485 -21.509 -21.500
  28   0.005   0.008   0.008   0.008   0.009   0.009   0.009   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.009   0.008   0.008   0.008   0.008   0.008   0.008   0.009
  29 -17.812 -17.837 -17.811 -17.780 -17.758 -17.807 -17.848 -17.870 -17.853 -18.000 -18.120 -18.183 -18.281 -18.507 -18.666 -18.651 -18.672 -18.822 -19.049 -19.166 -19.245 -19.384 -19.484 -19.554 -19.608 -19.791 -19.913 -19.933
  29   0.005   0.008   0.008   0.009   0.009   0.009   0.008   0.008   0.009   0.009   0.009   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.009   0.009   0.008   0.008   0.009   0.008   0.008   0.008   0.008   0.008
  30 -17.002 -17.246 -17.462 -17.662 -17.917 -18.223 -18.224 -18.318 -18.613 -18.937 -18.985 -19.186 -19.337 -19.454 -19.644 -19.825 -19.877 -19.967 -20.058 -20.100 -20.263 -20.407 -20.477 -20.564 -20.644 -20.760 -21.136 -21.275
  30   0.007   0.011   0.011   0.011   0.011   0.011   0.011   0.011   0.010   0.012   0.011   0.011   0.011   0.011   0.010   0.011   0.011   0.010   0.010   0.011   0.012   0.010   0.011   0.011   0.011   0.012   0.011   0.010
  31 -16.357 -16.424 -16.689 -16.879 -17.156 -17.340 -17.500 -17.762 -17.979 -18.023 -18.139 -18.329 -18.553 -18.637 -18.816 -18.961 -19.068 -19.144 -19.337 -19.413 -19.469 -19.531 -19.616 -19.645 -19.794 -19.879 -20.000 -20.173
  31   0.009   0.016   0.017   0.016   0.016   0.017   0.018   0.017   0.017   0.017   0.018   0.016   0.016   0.017   0.016   0.016   0.015   0.016   0.016   0.016   0.016   0.015   0.015   0.017   0.016   0.017   0.017   0.016
  32 -16.708 -16.958 -17.147 -17.300 -17.579 -17.857 -17.856 -17.942 -18.242 -18.529 -18.603 -18.762 -18.923 -19.045 -19.223 -19.406 -19.440 -19.505 -19.590 -19.657 -19.810 -19.934 -19.998 -20.096 -20.228 -20.337 -20.713 -20.819
  32   0.001   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002
  33 -19.144 -19.372 -19.486 -19.631 -19.871 -19.883 -19.940 -19.915 -20.016 -20.057 -20.154 -20.369 -20.333 -20.449 -20.571 -20.816 -20.875 -20.924 -20.958 -21.028 -21.128 -21.214 -21.277 -21.315 -21.347 -21.407 -21.432 -21.484
  33   0.002   0.004   0.004   0.004   0.005   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004
  34 -17.988 -18.282 -18.514 -18.535 -18.630 -18.846 -19.010 -19.109 -19.250 -19.342 -19.427 -19.592 -19.634 -19.697 -19.755 -19.816 -19.933 -20.034 -20.200 -20.358 -20.521 -20.669 -20.928 -20.946 -21.040 -21.077 -21.077 -21.210
  34   0.005   0.008   0.008   0.008   0.009   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.009   0.009   0.008   0.008   0.008   0.008   0.009   0.008   0.008   0.009   0.009   0.009   0.008   0.008   0.008   0.008
  35 -17.976 -18.323 -18.546 -18.522 -18.641 -18.912 -19.058 -19.230 -19.369 -19.436 -19.587 -19.784 -19.847 -19.881 -19.956 -20.031 -20.163 -20.275 -20.429 -20.493 -20.645 -20.942 -21.113 -21.175 -21.232 -21.255 -21.331 -21.481
  35   0.009   0.014   0.014   0.013   0.015   0.014   0.014   0.013   0.014   0.015   0.014   0.015   0.014   0.014   0.015   0.014   0.014   0.014   0.014   0.014   0.014   0.014   0.014   0.014   0.014   0.014   0.014   0.014
  36 -16.734 -17.379 -17.737 -17.938 -18.207 -18.399 -18.686 -18.866 -18.981 -19.107 -19.214 -19.421 -19.572 -19.691 -19.800 -19.967 -20.381 -20.583 -20.681 -20.791 -20.907 -21.094 -21.285 -21.406 -21.509 -21.601 -21.689 -21.724
  36   0.007   0.011   0.010   0.011   0.010   0.010   0.010   0.011   0.010   0.010   0.012   0.011   0.010   0.010   0.010   0.012   0.012   0.010   0.010   0.010   0.011   0.011   0.010   0.011   0.009   0.011   0.011   0.011
  37 -17.900 -18.365 -18.517 -18.715 -18.877 -19.076 -19.209 -19.261 -19.339 -19.424 -19.616 -19.717 -19.820 -19.942 -20.167 -20.549 -20.626 -20.702 -20.745 -20.854 -21.027 -21.163 -21.255 -21.311 -21.363 -21.423 -21.438 -21.512
  37   0.005   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.009   0.008   0.009   0.008   0.008   0.009   0.009   0.008   0.008   0.008   0.008   0.009   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008
  38 -17.504 -17.831 -18.073 -18.606 -18.785 -18.955 -19.157 -19.289 -19.531 -19.673 -19.719 -19.779 -19.896 -20.021 -20.172 -20.241 -20.285 -20.381 -20.685 -20.949 -21.003 -21.072 -21.094 -21.191 -21.326 -21.444 -21.515 -21.564
  38   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002
  39 -17.796 -18.070 -18.265 -18.472 -18.509 -18.593 -18.795 -18.977 -19.070 -19.209 -19.315 -19.391 -19.555 -19.645 -19.694 -19.751 -19.827 -19.889 -20.042 -20.135 -20.311 -20.451 -20.554 -20.823 -20.956 -21.002 -21.094 -21.108
  39   0.002   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004
  40 -17.708 -18.234 -18.469 -18.703 -18.875 -19.149 -19.281 -19.398 -19.521 -19.611 -19.833 -19.947 -20.054 -20.171 -20.492 -20.802 -20.891 -20.981 -21.068 -21.229 -21.401 -21.532 -21.624 -21.705 -21.775 -21.801 -21.906 -21.943
  40   0.008   0.011   0.010   0.011   0.011   0.010   0.010   0.010   0.010   0.012   0.011   0.010   0.010   0.011   0.012   0.011   0.011   0.010   0.010   0.011   0.011   0.010   0.010   0.010   0.011   0.011   0.010   0.011
  41 -16.557 -16.710 -16.962 -17.084 -17.269 -17.588 -17.826 -17.795 -17.916 -18.253 -18.521 -18.594 -18.762 -18.920 -19.044 -19.231 -19.416 -19.453 -19.523 -19.602 -19.677 -19.811 -19.964 -20.015 -20.114 -20.225 -20.307 -20.671
  41   0.001   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002
  42 -16.111 -16.109 -16.055 -16.029 -16.025 -16.134 -16.240 -16.322 -16.357 -16.593 -16.767 -16.860 -17.095 -17.443 -17.704 -17.677 -17.696 -17.940 -18.326 -18.505 -18.564 -18.756 -18.911 -19.031 -19.122 -19.367 -19.524 -19.544
  42   0.003   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004
  43 -17.979 -18.412 -18.595 -18.778 -18.926 -19.084 -19.291 -19.358 -19.427 -19.524 -19.644 -19.797 -19.941 -20.062 -20.202 -20.541 -20.710 -20.777 -20.860 -20.896 -21.044 -21.196 -21.293 -21.356 -21.399 -21.478 -21.477 -21.545
  43   0.001   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002
  44 -16.443 -16.939 -17.227 -17.999 -18.179 -18.384 -18.687 -18.867 -19.177 -19.358 -19.394 -19.456 -19.574 -19.749 -19.917 -19.893 -19.813 -20.023 -20.449 -20.760 -20.816 -20.872 -20.919 -21.090 -21.234 -21.389 -21.478 -21.525
  44   0.003   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.005   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004
  45 -20.116 -20.201 -20.174 -20.178 -20.275 -20.301 -20.246 -20.369 -20.527 -20.506 -20.329 -20.315 -20.331 -20.403 -20.425 -20.484 -20.724 -20.638 -20.750 -20.819 -20.941 -20.989 -21.007 -21.051 -21.106 -21.107 -21.115 -21.174
  45   0.002   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004
  46 -18.460 -18.800 -18.959 -19.132 -19.231 -19.336 -19.494 -19.533 -19.615 -19.665 -19.767 -19.899 -20.086 -20.245 -20.393 -20.645 -20.804 -20.885 -20.942 -20.953 -21.092 -21.233 -21.284 -21.338 -21.396 -21.459 -21.448 -21.502
  46   0.011   0.016   0.016   0.016   0.017   0.017   0.016   0.016   0.016   0.017   0.017   0.017   0.018   0.017   0.015   0.017   0.017   0.016   0.017   0.015   0.017   0.017   0.017   0.018   0.016   0.016   0.016   0.016
  47 -18.642 -19.102 -19.325 -19.564 -19.758 -19.963 -20.038 -20.107 -20.190 -20.357 -20.506 -20.560 -20.668 -20.812 -21.257 -21.414 -21.478 -21.518 -21.629 -21.804 -21.935 -22.031 -22.087 -22.130 -22.192 -22.202 -22.274 -22.301
  47   0.005   0.008   0.007   0.009   0.008   0.009   0.008   0.009   0.008   0.008   0.008   0.008   0.009   0.009   0.008   0.009   0.008   0.009   0.009   0.008   0.008   0.009   0.009   0.009   0.009   0.009   0.008   0.008
  48 -17.856 -18.302 -18.523 -18.734 -18.924 -19.140 -19.217 -19.296 -19.392 -19.547 -19.698 -19.790 -19.928 -20.078 -20.481 -20.628 -20.707 -20.758 -20.856 -21.033 -21.170 -21.270 -21.331 -21.383 -21.448 -21.463 -21.538 -21.562
  48   0.005   0.007   0.008   0.008   0.007   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.009   0.009   0.008   0.008   0.008   0.009   0.008   0.008   0.009   0.008   0.008   0.008   0.008   0.008   0.008   0.008
  49 -18.428 -18.779 -18.937 -19.074 -19.264 -19.322 -19.377 -19.474 -19.605 -19.747 -19.884 -20.045 -20.254 -20.579 -20.655 -20.745 -20.782 -20.884 -21.050 -21.177 -21.247 -21.297 -21.374 -21.377 -21.438 -21.472 -21.499 -21.494
  49   0.003   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004
  50 -17.647 -17.513 -17.568 -17.660 -17.754 -17.826 -18.015 -18.142 -18.244 -18.414 -18.613 -18.639 -18.656 -18.808 -19.011 -19.152 -19.227 -19.353 -19.451 -19.534 -19.618 -19.788 -19.815 -19.873 -19.912 -19.994 -20.040 -20.140
  50   0.002   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.005   0.004
  51 -15.783 -16.032 -16.258 -16.566 -16.777 -16.979 -17.293 -17.548 -17.593 -17.707 -17.963 -18.212 -18.319 -18.501 -18.657 -18.765 -18.911 -19.141 -19.201 -19.286 -19.310 -19.432 -19.485 -19.669 -19.732 -19.926 -19.983 -20.145
  51   0.005   0.007   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.009   0.008   0.008   0.009   0.008   0.009   0.008   0.009   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008
  52 -16.587 -17.083 -17.906 -18.161 -18.345 -18.666 -18.855 -19.160 -19.327 -19.380 -19.461 -19.558 -19.744 -19.891 -19.846 -19.833 -20.039 -20.518 -20.751 -20.797 -20.880 -20.962 -21.134 -21.267 -21.411 -21.492 -21.500 -21.555
  52   0.006   0.009   0.009   0.008   0.008   0.008   0.007   0.008   0.009   0.008   0.008   0.008   0.009   0.009   0.009   0.008   0.008   0.009   0.008   0.008   0.008   0.008   0.008   0.009   0.008   0.008   0.008   0.008
  53 -20.333 -20.390 -20.360 -20.345 -20.363 -20.338 -20.362 -20.390 -20.550 -20.647 -20.704 -20.689 -20.680 -20.659 -20.631 -21.213 -21.012 -20.976 -20.983 -20.984 -20.988 -20.996 -20.977 -21.018 -21.109 -20.990 -21.029 -21.041
