   ID g_JPAS  r_JPAS  uj_JPAS J0378   J0395   J0410   J0430   J0515   J0660   J0861   gSDSS   iSDSS   rSDSS   uJAVA   zSDSS    
  17 -20.381 -21.784 -18.556 -18.403 -18.747 -19.043 -19.266 -20.715 -22.006 -22.794 -20.202 -22.478 -21.260 -19.366 -22.011
  17   0.004   0.004   0.006   0.011   0.014   0.010   0.011   0.010   0.011   0.008   0.004   0.003   0.006   0.002   0.008
  18 -20.159 -21.382 -18.514 -18.370 -18.691 -18.954 -19.138 -20.481 -21.569 -22.180 -19.996 -21.929 -21.410 -17.481 -22.352
  18   0.002   0.002   0.003   0.004   0.005   0.004   0.004   0.004   0.005   0.003   0.001   0.001   0.001   0.002   0.001
  19 -20.290 -21.311 -18.963 -18.910 -19.080 -19.246 -19.374 -20.622 -21.470 -22.058 -20.150 -21.813 -21.409 -18.505 -22.222
  19   0.001   0.001   0.001   0.002   0.003   0.002   0.002   0.002   0.002   0.001   0.001   0.001   0.001   0.001   0.001
  20 -20.095 -21.365 -18.426 -18.281 -18.606 -18.883 -19.068 -20.412 -21.560 -22.225 -19.929 -21.954 -20.255 -16.163 -22.076
  20   0.001   0.001   0.001   0.002   0.003   0.002   0.002   0.002   0.002   0.001   0.001   0.001   0.001   0.001   0.001
  21 -20.315 -21.333 -18.950 -18.907 -19.073 -19.267 -19.392 -20.651 -21.500 -22.040 -20.176 -21.821 -21.324 -18.353 -22.231
  21   0.006   0.006   0.009   0.019   0.022   0.014   0.015   0.014   0.019   0.010   0.006   0.006   0.005   0.009   0.005
  22 -19.625 -21.242 -17.618 -17.419 -17.825 -18.145 -18.372 -19.956 -21.511 -22.476 -19.428 -22.068 -21.344 -16.696 -22.570
  22   0.003   0.003   0.005   0.009   0.011   0.008   0.008   0.008   0.009   0.006   0.003   0.003   0.002   0.005   0.003
  23 -20.224 -21.368 -18.685 -18.579 -18.838 -19.074 -19.239 -20.553 -21.543 -22.130 -20.070 -21.891 -21.573 -18.300 -22.174
  23   0.001   0.001   0.001   0.002   0.003   0.002   0.002   0.002   0.002   0.001   0.001   0.001   0.001   0.001   0.001
  24 -20.109 -21.384 -18.392 -18.230 -18.579 -18.874 -19.071 -20.427 -21.577 -22.209 -19.941 -21.954 -21.351 -17.063 -22.383
  24   0.001   0.001   0.001   0.002   0.003   0.002   0.002   0.002   0.002   0.001   0.001   0.001   0.001   0.001   0.001
  25 -20.102 -21.331 -18.508 -18.421 -18.660 -18.893 -19.062 -20.449 -21.533 -22.230 -19.943 -21.942 -21.355 -17.712 -22.390
  25   0.003   0.003   0.004   0.009   0.011   0.008   0.008   0.008   0.009   0.006   0.003   0.003   0.003   0.004   0.003
  26 -20.129 -21.729 -18.113 -17.930 -18.317 -18.646 -18.896 -20.467 -21.989 -22.947 -19.932 -22.559 -20.659 -19.167 -22.068
  26   0.004   0.004   0.006   0.011   0.014   0.010   0.010   0.009   0.011   0.007   0.004   0.004   0.005   0.000   0.006
  27 -19.564 -21.232 -17.490 -17.265 -17.707 -18.049 -18.289 -19.886 -21.508 -22.496 -19.361 -22.079 -20.221 -14.016 -22.278
  27   0.003   0.003   0.005   0.009   0.010   0.008   0.008   0.007   0.010   0.006   0.003   0.003   0.003   0.005   0.003
  28 -20.081 -21.347 -18.462 -18.324 -18.644 -18.891 -19.056 -20.393 -21.548 -22.248 -19.916 -21.951 -21.511 -17.824 -22.331
  28   0.003   0.003   0.005   0.009   0.011   0.008   0.008   0.008   0.009   0.006   0.003   0.003   0.003   0.005   0.003
  29 -20.332 -21.373 -18.887 -18.796 -19.024 -19.258 -19.393 -20.657 -21.532 -22.030 -20.187 -21.826 -19.793 -17.792 -21.822
  29   0.003   0.003   0.005   0.009   0.011   0.008   0.008   0.007   0.009   0.005   0.003   0.003   0.003   0.004   0.002
  30 -20.931 -22.106 -19.337 -19.180 -19.526 -19.777 -19.935 -21.238 -22.291 -22.853 -20.772 -22.609 -21.032 -16.971 -22.601
  30   0.004   0.003   0.005   0.009   0.011   0.008   0.008   0.009   0.010   0.005   0.003   0.003   0.004   0.006   0.003
  31 -20.328 -21.350 -18.929 -18.877 -19.058 -19.264 -19.398 -20.665 -21.515 -22.033 -20.188 -21.825 -20.155 -16.391 -21.995
  31   0.006   0.006   0.009   0.016   0.020   0.015   0.015   0.016   0.021   0.011   0.006   0.005   0.005   0.009   0.005
  32 -20.144 -21.362 -18.546 -18.420 -18.715 -18.962 -19.137 -20.466 -21.549 -22.193 -19.983 -21.928 -20.579 -16.676 -22.160
  32   0.001   0.001   0.001   0.002   0.003   0.002   0.002   0.002   0.002   0.001   0.001   0.001   0.001   0.001   0.001
  33 -20.584 -20.970 -20.142 -20.005 -20.252 -20.319 -20.301 -20.615 -20.652 -21.054 -20.548 -21.109 -21.367 -19.094 -22.061
  33   0.003   0.004   0.004   0.009   0.011   0.008   0.008   0.007   0.009   0.006   0.003   0.004   0.003   0.002   0.001
  34 -20.312 -21.334 -18.942 -18.886 -19.066 -19.254 -19.387 -20.646 -21.496 -22.046 -20.171 -21.821 -21.110 -17.911 -22.176
  34   0.003   0.003   0.005   0.009   0.011   0.008   0.008   0.008   0.009   0.005   0.003   0.003   0.003   0.005   0.002
  35 -20.334 -21.358 -18.919 -18.862 -19.051 -19.263 -19.401 -20.671 -21.523 -22.029 -20.193 -21.827 -21.347 -17.919 -22.369
  35   0.007   0.006   0.009   0.018   0.022   0.014   0.017   0.015   0.017   0.011   0.006   0.005   0.004   0.008   0.004
  36 -20.626 -22.098 -18.749 -18.549 -18.959 -19.261 -19.459 -20.943 -22.343 -23.162 -20.441 -22.808 -21.591 -16.589 -23.073
  36   0.003   0.003   0.004   0.009   0.010   0.007   0.008   0.008   0.009   0.005   0.003   0.003   0.004   0.006   0.003
  37 -20.130 -21.343 -18.581 -18.464 -18.747 -18.971 -19.125 -20.448 -21.536 -22.213 -19.970 -21.925 -21.405 -17.753 -22.364
  37   0.003   0.003   0.004   0.008   0.010   0.007   0.008   0.007   0.009   0.006   0.003   0.003   0.003   0.005   0.003
  38 -20.290 -21.156 -19.397 -19.353 -19.487 -19.541 -19.616 -20.522 -21.216 -21.782 -20.182 -21.597 -21.404 -17.359 -22.213
  38   0.005   0.007   0.005   0.007   0.010   0.010   0.009   0.014   0.026   0.014   0.005   0.007   0.001   0.001   0.001
  39 -20.323 -21.351 -18.917 -18.846 -19.048 -19.245 -19.390 -20.657 -21.510 -22.041 -20.180 -21.825 -21.008 -17.719 -22.156
  39   0.001   0.002   0.002   0.004   0.005   0.004   0.004   0.004   0.004   0.003   0.002   0.001   0.001   0.002   0.001
  40 -20.842 -22.117 -19.154 -18.983 -19.351 -19.619 -19.790 -21.153 -22.322 -22.970 -20.674 -22.689 -21.828 -17.530 -22.935
  40   0.004   0.004   0.005   0.009   0.011   0.008   0.008   0.008   0.009   0.005   0.003   0.003   0.004   0.007   0.003
  41 -20.154 -21.375 -18.523 -18.387 -18.697 -18.956 -19.139 -20.477 -21.561 -22.183 -19.992 -21.929 -20.472 -16.527 -22.131
  41   0.001   0.001   0.001   0.002   0.003   0.002   0.002   0.002   0.002   0.001   0.001   0.001   0.001   0.001   0.001
  42 -20.110 -21.384 -18.393 -18.232 -18.577 -18.877 -19.068 -20.428 -21.579 -22.209 -19.942 -21.954 -19.379 -16.092 -21.753
  42   0.002   0.002   0.003   0.004   0.006   0.004   0.004   0.004   0.005   0.003   0.002   0.001   0.001   0.002   0.003
  43 -20.229 -21.375 -18.674 -18.563 -18.829 -19.072 -19.241 -20.559 -21.550 -22.125 -20.074 -21.892 -21.432 -17.862 -22.300
  43   0.001   0.001   0.001   0.002   0.003   0.002   0.002   0.002   0.002   0.001   0.001   0.001   0.001   0.001   0.001
  44 -20.348 -21.227 -19.315 -19.242 -19.452 -19.548 -19.633 -20.626 -21.330 -21.915 -20.233 -21.733 -21.339 -16.231 -22.320
  44   0.001   0.001   0.001   0.001   0.001   0.001   0.001   0.002   0.003   0.002   0.001   0.001   0.001   0.003   0.001
  45 -20.688 -21.792 -19.147 -19.035 -19.313 -19.559 -19.742 -21.009 -21.953 -22.485 -20.535 -22.280 -21.119 -20.095 -21.671
  45   0.004   0.005   0.006   0.013   0.015   0.011   0.011   0.012   0.013   0.007   0.004   0.004   0.001   0.002   0.001
  46 -19.848 -21.273 -18.069 -17.968 -18.236 -18.509 -18.698 -20.205 -21.519 -22.379 -19.675 -22.022 -21.416 -18.367 -22.224
  46   0.007   0.006   0.010   0.017   0.021   0.015   0.017   0.017   0.018   0.011   0.006   0.006   0.005   0.009   0.005
  47 -20.426 -21.568 -18.869 -18.766 -19.012 -19.288 -19.417 -20.759 -21.754 -22.320 -20.273 -22.082 -22.223 -18.498 -22.988
  47   0.005   0.005   0.007   0.014   0.018   0.012   0.013   0.012   0.016   0.009   0.005   0.004   0.003   0.005   0.003
  48 -20.159 -21.382 -18.517 -18.370 -18.697 -18.956 -19.133 -20.479 -21.572 -22.184 -19.996 -21.928 -21.488 -17.720 -22.320
  48   0.003   0.003   0.005   0.009   0.011   0.008   0.008   0.007   0.008   0.006   0.003   0.003   0.003   0.005   0.003
  49 -20.198 -21.333 -18.737 -18.655 -18.875 -19.087 -19.227 -20.525 -21.512 -22.151 -20.047 -21.885 -21.504 -18.327 -22.238
  49   0.002   0.002   0.002   0.004   0.005   0.004   0.004   0.004   0.004   0.003   0.001   0.001   0.001   0.002   0.002
  50 -20.329 -21.359 -18.906 -18.831 -19.041 -19.243 -19.393 -20.664 -21.517 -22.037 -20.185 -21.827 -20.134 -17.682 -21.927
  50   0.002   0.002   0.002   0.004   0.006   0.004   0.004   0.004   0.004   0.003   0.002   0.001   0.001   0.002   0.001
  51 -19.985 -21.327 -18.255 -18.127 -18.420 -18.704 -18.879 -20.325 -21.547 -22.301 -19.814 -21.986 -20.137 -15.759 -22.062
  51   0.003   0.003   0.005   0.009   0.011   0.008   0.008   0.008   0.009   0.005   0.003   0.003   0.003   0.005   0.003
  52 -19.962 -21.103 -19.030 -18.979 -19.118 -19.161 -19.228 -20.181 -21.263 -22.150 -19.841 -21.790 -21.393 -16.456 -22.326
  52   0.004   0.007   0.002   0.004   0.006   0.006   0.007   0.011   0.022   0.014   0.004   0.007   0.003   0.006   0.003
  53 -20.605 -21.811 -18.953 -18.823 -19.131 -19.399 -19.600 -20.932 -21.992 -22.598 -20.442 -22.362 -21.187 -20.317 -21.472
  53   0.004   0.004   0.007   0.012   0.015   0.010   0.010   0.011   0.012   0.007   0.004   0.004   0.003   0.005   0.003
  54 -20.420 -21.340 -19.116 -19.074 -19.233 -19.422 -19.543 -20.749 -21.484 -21.916 -20.288 -21.746 -21.651 -18.171 -22.477
  54   0.007   0.006   0.009   0.018   0.023   0.015   0.016   0.015   0.019   0.010   0.006   0.005   0.004   0.007   0.004
  55 -20.268 -21.389 -18.737 -18.608 -18.906 -19.142 -19.301 -20.583 -21.560 -22.097 -20.115 -21.873 -21.458 -17.848 -22.275
  55   0.003   0.003   0.005   0.009   0.011   0.008   0.008   0.009   0.010   0.005   0.003   0.003   0.003   0.005   0.003
  56 -20.094 -21.365 -18.431 -18.278 -18.619 -18.883 -19.060 -20.408 -21.565 -22.234 -19.928 -21.952 -20.254 -16.162 -22.074
  56   0.003   0.003   0.004   0.008   0.012   0.007   0.008   0.008   0.009   0.005   0.003   0.003   0.003   0.004   0.003
  57 -20.293 -21.310 -18.969 -18.926 -19.085 -19.256 -19.378 -20.626 -21.473 -22.054 -20.154 -21.814 -21.516 -18.751 -22.101
  57   0.003   0.003   0.005   0.009   0.011   0.007   0.008   0.008   0.010   0.005   0.003   0.003   0.003   0.004   0.003
  58 -20.213 -21.354 -18.707 -18.611 -18.854 -19.079 -19.235 -20.542 -21.529 -22.139 -20.060 -21.889 -21.507 -18.212 -22.244
  58   0.001   0.001   0.001   0.002   0.003   0.002   0.002   0.002   0.002   0.001   0.001   0.001   0.001   0.001   0.001
  59 -19.715 -21.256 -17.794 -17.638 -17.975 -18.292 -18.495 -20.061 -21.515 -22.440 -19.527 -22.051 -19.552 -14.611 -21.912
  59   0.003   0.003   0.005   0.009   0.011   0.008   0.008   0.008   0.010   0.005   0.003   0.003   0.003   0.004   0.002
  60 -20.407 -21.543 -18.899 -18.812 -19.034 -19.292 -19.409 -20.739 -21.731 -22.331 -20.256 -22.076 -22.129 -18.204 -23.130
  60   0.005   0.005   0.008   0.013   0.018   0.013   0.013   0.013   0.016   0.009   0.005   0.005   0.003   0.005   0.003
  61 -20.230 -21.375 -18.675 -18.564 -18.828 -19.075 -19.239 -20.560 -21.551 -22.125 -20.075 -21.891 -20.913 -17.106 -22.211
  61   0.002   0.002   0.002   0.004   0.006   0.004   0.004   0.004   0.004   0.003   0.001   0.001   0.001   0.002   0.001
  62 -20.201 -21.541 -18.470 -18.347 -18.629 -18.931 -19.084 -20.542 -21.768 -22.516 -20.031 -22.198 -20.614 -14.330 -22.922
  62   0.005   0.005   0.008   0.016   0.019   0.013   0.013   0.013   0.014   0.009   0.005   0.005   0.003   0.005   0.002
  63 -20.199 -21.333 -18.738 -18.659 -18.872 -19.094 -19.222 -20.528 -21.515 -22.152 -20.048 -21.884 -21.109 -17.603 -22.255
  63   0.003   0.003   0.004   0.009   0.011   0.008   0.007   0.008   0.009   0.006   0.005   0.003   0.003   0.005   0.002
  64 -20.626 -21.027 -20.143 -20.124 -20.206 -20.174 -20.191 -20.764 -20.788 -21.103 -20.567 -21.158 -21.392 -19.258 -21.965
  64   0.002   0.002   0.002   0.004   0.005   0.004   0.004   0.004   0.004   0.002   0.002   0.002   0.003   0.004   0.003
  65 -20.130 -21.343 -18.577 -18.464 -18.741 -18.970 -19.130 -20.450 -21.532 -22.209 -19.970 -21.926 -21.183 -17.362 -22.330
  65   0.001   0.002   0.002   0.005   0.005   0.004   0.004   0.004   0.004   0.003   0.002   0.001   0.001   0.002   0.001
  66 -20.197 -21.333 -18.737 -18.654 -18.876 -19.084 -19.229 -20.524 -21.510 -22.151 -20.046 -21.885 -21.289 -17.903 -22.309
  66   0.001   0.001   0.001   0.002   0.003   0.002   0.002   0.002   0.002   0.001   0.001   0.001   0.001   0.001   0.001
  67 -20.215 -21.354 -18.708 -18.616 -18.850 -19.089 -19.229 -20.545 -21.535 -22.140 -20.063 -21.888 -20.386 -17.177 -22.036
  67   0.003   0.003   0.005   0.009   0.011   0.007   0.007   0.007   0.009   0.005   0.003   0.003   0.003   0.004   0.003
  68 -20.322 -21.352 -18.915 -18.841 -19.046 -19.241 -19.389 -20.656 -21.509 -22.042 -20.179 -21.825 -21.350 -18.184 -22.230
  68   0.001   0.001   0.001   0.002   0.003   0.002   0.002   0.002   0.002   0.001   0.001   0.001   0.001   0.001   0.001
  69 -20.829 -22.100 -19.173 -19.013 -19.366 -19.621 -19.784 -21.139 -22.307 -22.978 -20.663 -22.685 -21.700 -17.933 -22.781
  69   0.003   0.003   0.005   0.009   0.011   0.008   0.008   0.008   0.009   0.005   0.003   0.003   0.003   0.007   0.003
  70 -20.510 -21.549 -19.064 -18.978 -19.195 -19.447 -19.559 -20.837 -21.715 -22.207 -20.366 -22.001 -22.260 -18.378 -23.066
  70   0.005   0.005   0.007   0.014   0.018   0.013   0.014   0.014   0.014   0.009   0.005   0.005   0.003   0.005   0.003
  71 -20.465 -20.968 -19.995 -20.038 -20.124 -19.941 -20.020 -20.673 -20.925 -21.296 -20.394 -21.330 -21.790 -17.209 -22.967
  71   0.002   0.002   0.002   0.005   0.005   0.004   0.004   0.004   0.005   0.003   0.001   0.001   0.001   0.002   0.001
  72 -20.328 -21.350 -18.929 -18.877 -19.058 -19.264 -19.398 -20.665 -21.515 -22.033 -20.188 -21.825 -19.816 -16.276 -22.079
  72   0.007   0.006   0.009   0.017   0.023   0.014   0.014   0.015   0.019   0.011   0.006   0.006   0.004   0.007   0.004
  73 -20.291 -21.311 -18.965 -18.916 -19.082 -19.249 -19.375 -20.623 -21.471 -22.057 -20.151 -21.813 -20.505 -17.936 -21.983
  73   0.002   0.002   0.002   0.004   0.005   0.004   0.004   0.004   0.004   0.003   0.002   0.001   0.001   0.002   0.001
  74 -19.947 -21.485 -18.024 -17.873 -18.199 -18.534 -18.714 -20.294 -21.750 -22.670 -19.760 -22.278 -21.056 -16.910 -22.835
  74   0.005   0.005   0.008   0.014   0.018   0.012   0.012   0.013   0.014   0.008   0.005   0.005   0.003   0.005   0.002
  75 -20.328 -21.360 -18.904 -18.826 -19.039 -19.240 -19.392 -20.663 -21.516 -22.039 -20.184 -21.827 -21.271 -17.980 -22.215
  75   0.001   0.001   0.001   0.002   0.003   0.002   0.002   0.002   0.002   0.001   0.001   0.001   0.001   0.001   0.001
  76 -20.106 -21.330 -18.517 -18.442 -18.667 -18.906 -19.067 -20.454 -21.537 -22.225 -19.949 -21.942 -20.408 -14.910 -22.428
  76   0.006   0.006   0.009   0.017   0.020   0.016   0.015   0.016   0.018   0.011   0.006   0.006   0.005   0.008   0.004
  77 -20.223 -21.398 -18.623 -18.472 -18.807 -19.066 -19.237 -20.533 -21.576 -22.137 -20.064 -21.904 -21.096 -16.868 -22.263
  77   0.003   0.003   0.005   0.009   0.011   0.008   0.008   0.008   0.009   0.005   0.003   0.003   0.003   0.004   0.002
  78 -20.225 -21.368 -18.686 -18.581 -18.837 -19.078 -19.237 -20.554 -21.545 -22.130 -20.070 -21.891 -20.426 -17.027 -22.060
  78   0.002   0.002   0.002   0.004   0.006   0.004   0.004   0.004   0.005   0.003   0.002   0.002   0.001   0.002   0.001
  79 -20.599 -21.803 -18.963 -18.838 -19.138 -19.401 -19.597 -20.925 -21.985 -22.602 -20.437 -22.360 -21.253 -19.649 -21.896
  79   0.004   0.005   0.007   0.012   0.015   0.010   0.011   0.010   0.012   0.008   0.004   0.003   0.001   0.002   0.002
  80 -19.844 -21.273 -18.059 -17.946 -18.229 -18.495 -18.691 -20.200 -21.514 -22.383 -19.668 -22.021 -21.168 -16.935 -22.511
  80   0.003   0.003   0.004   0.009   0.011   0.007   0.008   0.008   0.010   0.005   0.003   0.003   0.003   0.005   0.003
  81 -20.334 -21.358 -18.919 -18.862 -19.051 -19.263 -19.401 -20.671 -21.523 -22.029 -20.193 -21.827 -21.119 -18.211 -22.101
  81   0.006   0.006   0.009   0.018   0.022   0.015   0.015   0.016   0.019   0.010   0.006   0.006   0.005   0.010   0.005
  82 -20.315 -21.333 -18.950 -18.907 -19.073 -19.267 -19.392 -20.651 -21.500 -22.040 -20.176 -21.821 -21.717 -18.578 -22.391
  82   0.006   0.006   0.009   0.016   0.023   0.015   0.016   0.015   0.018   0.012   0.006   0.005   0.004   0.009   0.005
  83 -20.421 -21.213 -19.423 -19.362 -19.550 -19.638 -19.718 -20.708 -21.298 -21.828 -20.312 -21.671 -21.401 -17.483 -22.185
  83   0.001   0.001   0.001   0.002   0.002   0.001   0.001   0.002   0.003   0.002   0.001   0.001   0.001   0.003   0.001
  84 -20.108 -21.384 -18.398 -18.228 -18.592 -18.874 -19.063 -20.423 -21.583 -22.217 -19.940 -21.953 -20.264 -15.940 -22.090
  84   0.003   0.003   0.005   0.009   0.011   0.008   0.008   0.007   0.009   0.005   0.003   0.002   0.003   0.004   0.002
  85 -20.082 -21.347 -18.456 -18.326 -18.631 -18.891 -19.064 -20.398 -21.543 -22.240 -19.917 -21.953 -19.943 -16.410 -21.956
  85   0.001   0.001   0.001   0.002   0.002   0.002   0.002   0.002   0.002   0.001   0.001   0.001   0.001   0.001   0.001
  86 -20.231 -21.375 -18.675 -18.568 -18.825 -19.082 -19.234 -20.562 -21.555 -22.126 -20.077 -21.891 -19.967 -17.099 -21.938
  86   0.003   0.003   0.004   0.008   0.011   0.008   0.008   0.008   0.008   0.005   0.003   0.003   0.003   0.005   0.003
  87 -20.296 -21.309 -18.978 -18.947 -19.092 -19.269 -19.383 -20.630 -21.477 -22.049 -20.159 -21.814 -22.178 -18.033 -23.118
  87   0.006   0.006   0.009   0.018   0.023   0.016   0.016   0.013   0.019   0.011   0.006   0.006   0.003   0.005   0.003
  88 -20.810 -22.076 -19.197 -19.052 -19.384 -19.623 -19.775 -21.119 -22.284 -22.986 -20.645 -22.678 -21.284 -20.364 -21.529
  88   0.003   0.003   0.005   0.009   0.012   0.008   0.009   0.008   0.009   0.005   0.003   0.003   0.001   0.002   0.001
  89 -20.309 -21.335 -18.936 -18.871 -19.061 -19.244 -19.383 -20.642 -21.493 -22.050 -20.167 -21.820 -21.383 -18.329 -22.234
  89   0.001   0.001   0.001   0.002   0.003   0.002   0.002   0.002   0.002   0.001   0.001   0.001   0.001   0.001   0.001
  90 -20.105 -21.378 -18.404 -18.249 -18.586 -18.881 -19.067 -20.423 -21.573 -22.215 -19.938 -21.954 -19.868 -16.057 -21.963
  90   0.002   0.002   0.002   0.004   0.006   0.004   0.003   0.004   0.004   0.003   0.002   0.002   0.001   0.002   0.001
  91 -20.104 -21.378 -18.403 -18.247 -18.588 -18.877 -19.070 -20.422 -21.572 -22.214 -19.937 -21.954 -21.003 -16.415 -22.308
  91   0.001   0.001   0.001   0.002   0.003   0.002   0.002   0.002   0.002   0.001   0.001   0.001   0.001   0.001   0.001
  92 -20.849 -22.125 -19.145 -18.968 -19.343 -19.617 -19.793 -21.160 -22.330 -22.966 -20.680 -22.691 -21.205 -17.536 -22.575
  92   0.003   0.003   0.005   0.009   0.010   0.008   0.009   0.008   0.009   0.005   0.003   0.003   0.004   0.006   0.003
  93 -20.144 -21.362 -18.550 -18.419 -18.724 -18.964 -19.129 -20.463 -21.554 -22.200 -19.983 -21.927 -20.103 -16.704 -21.991
  93   0.003   0.003   0.004   0.008   0.010   0.008   0.008   0.007   0.009   0.005   0.003   0.003   0.003   0.004   0.002
  94 -20.130 -21.343 -18.576 -18.465 -18.738 -18.969 -19.132 -20.450 -21.531 -22.206 -19.971 -21.926 -21.157 -17.307 -22.321
  94   0.001   0.001   0.001   0.002   0.003   0.002   0.002   0.002   0.002   0.001   0.001   0.001   0.001   0.001   0.001
  95 -20.420 -21.340 -19.116 -19.074 -19.233 -19.422 -19.543 -20.749 -21.484 -21.916 -20.288 -21.746 -20.370 -17.638 -21.971
  95   0.006   0.006   0.009   0.017   0.020   0.017   0.016   0.015   0.018   0.011   0.006   0.006   0.005   0.009   0.005
  96 -20.106 -21.330 -18.517 -18.442 -18.667 -18.906 -19.067 -20.454 -21.537 -22.225 -19.949 -21.942 -21.362 -17.331 -22.494
  96   0.006   0.006   0.009   0.016   0.022   0.016   0.016   0.016   0.018   0.011   0.007   0.005   0.005   0.010   0.005
  97 -20.296 -21.309 -18.978 -18.947 -19.092 -19.269 -19.383 -20.630 -21.477 -22.049 -20.159 -21.814 -21.666 -18.163 -22.469
  97   0.006   0.006   0.009   0.018   0.024   0.015   0.015   0.015   0.017   0.010   0.006   0.006   0.005   0.008   0.004
  98 -20.375 -22.043 -18.307 -18.076 -18.529 -18.864 -19.090 -20.695 -22.326 -23.316 -20.172 -22.889 -21.937 -18.353 -22.717
  98   0.003   0.003   0.005   0.009   0.010   0.007   0.008   0.008   0.009   0.005   0.003   0.003   0.003   0.007   0.004
